Player,Team,Wins,Losses,KDA,Kill,Death,Assists,LH,DN,GPM,XPM,Frankfurt_Result
Panda,Rex Regum QEON,0.0,8.0,1.48,3.0,6.0,5.88,144.88,7.13,414.0,415.0,0.0
Nafari,Rex Regum QEON,0.0,8.0,1.86,3.75,5.25,6.0,77.88,4.38,300.0,340.0,0.0
KoaLa,Rex Regum QEON,0.0,8.0,1.9,4.13,5.0,5.38,170.25,3.25,447.0,462.0,0.0
offlane or nc,Rex Regum QEON,0.0,8.0,1.22,3.0,7.5,6.13,63.0,1.75,274.0,279.0,0.0
DuBu,MVP HOT6,0.0,8.0,1.19,1.38,6.5,6.38,43.13,3.13,220.0,216.0,0.0
..,MVP HOT6,0.0,8.0,1.4,2.38,6.88,7.25,107.25,4.0,301.0,294.0,0.0
Doctor,MVP HOT6,0.0,8.0,2.19,5.63,5.38,6.13,182.5,11.13,419.0,420.0,0.0
MVP.FoREv,MVP HOT6,0.0,8.0,2.16,3.25,4.63,6.75,180.13,10.0,403.0,410.0,0.0
ReiseN,MVP HOT6,0.0,8.0,1.31,2.88,6.5,5.63,20.13,2.63,218.0,216.0,0.0
Buugi,STARK.gg,0.0,6.0,2.09,5.0,5.5,6.5,262.17,9.33,471.0,460.0,0.0
okcya,STARK.gg,0.0,6.0,0.94,1.67,8.17,6.0,25.83,2.17,187.0,200.0,0.0
jumjam,STARK.gg,0.0,6.0,2.06,3.33,5.5,8.0,51.0,2.5,239.0,251.0,0.0
nempsy,STARK.gg,0.0,6.0,1.83,3.83,5.83,6.83,248.17,3.17,446.0,448.0,0.0
STARK.Trixi,STARK.gg,0.0,6.0,1.2,2.5,7.67,6.67,175.33,6.5,360.0,388.0,0.0
,Virtus.Pro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
